,Unnamed: 0,No,year,month,day,hour,season,AQI,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1357,45181,45182,2015,2,26,13,4,38,12,13,16,14,-22,12,1025,4,NW,32.63,0,0
1358,45182,45183,2015,2,26,14,4,52,12,16,12,17,-22,12,1025,5,NW,39.78,0,0
1359,45183,45184,2015,2,26,15,4,60,13,17,15,13,-21,13,1024,5,NW,45.59,0,0
1360,45184,45185,2015,2,26,16,4,80,12,17,14,16,-22,11,1024,6,NW,52.74,0,0
1361,45185,45186,2015,2,26,17,4,66,19,15,21,9,-22,11,1024,6,NW,59.89,0,0
1362,45186,45187,2015,2,26,18,4,38,15,16,14,15,-21,15,1025,3,NW,63.02,0,0
1363,45187,45188,2015,2,26,19,4,38,17,15,22,15,-20,16,1026,3,NW,66.15,0,0
1364,45188,45189,2015,2,26,20,4,37,21,15,18,18,-19,20,1027,1,NE,3.13,0,0
1365,45189,45190,2015,2,26,21,4,37,15,35,22,16,-18,22,1029,1,NE,4.92,0,0
1366,45190,45191,2015,2,26,22,4,36,9,37,26,11,-18,22,1030,1,NE,8.05,0,0
1367,45191,45192,2015,2,26,23,4,37,9,16,14,12,-18,24,1031,0,NE,9.84,0,0
1368,45192,45193,2015,2,27,0,4,49,7,10,9,8,-16,28,1031,0,NE,12.97,0,0
1369,45193,45194,2015,2,27,1,4,59,8,7,6,8,-16,30,1032,-1,NE,16.1,0,0
1370,45194,45195,2015,2,27,2,4,71,6,8,7,14,-17,30,1033,-2,NE,19.23,0,0
1371,45195,45196,2015,2,27,3,4,75,6,7,3,10,-16,33,1032,-2,NE,23.25,0,0
1372,45196,45197,2015,2,27,4,4,68,9,6,3,8,-16,33,1033,-2,NE,26.38,0,0
1373,45197,45198,2015,2,27,5,4,61,12,7,6,10,-16,33,1033,-2,NE,28.17,0,0
1374,45198,45199,2015,2,27,6,4,54,8,13,10,9,-16,33,1033,-2,cv,0.89,0,0
1375,45199,45200,2015,2,27,7,4,46,8,14,9,18,-15,39,1034,-3,cv,1.78,0,0
1376,45200,45201,2015,2,27,8,4,40,4,18,15,20,-13,42,1035,-2,cv,2.67,0,0
1377,45201,45202,2015,2,27,9,4,37,7,27,19,19,-15,33,1035,-1,cv,3.56,0,0
1431,45255,45256,2015,3,1,15,1,207,25,20,19,20,-16,12,1017,12,SE,27.72,0,0
1433,45257,45258,2015,3,1,17,1,212,19,19,13,17,-16,13,1016,11,SE,40.68,0,0
1434,45258,45259,2015,3,1,18,1,217,34,27,27,25,-15,15,1016,10,SE,46.49,0,0
1435,45259,45260,2015,3,1,19,1,231,43,191,43,40,-15,16,1016,9,SE,51.41,0,0
1436,45260,45261,2015,3,1,20,1,247,56,95,51,51,-14,18,1016,9,SE,57.22,0,0
1437,45261,45262,2015,3,1,21,1,254,68,50,56,47,-14,18,1017,9,SE,62.14,0,0
1438,45262,45263,2015,3,1,22,1,259,74,61,56,58,-14,20,1016,7,SE,66.16,0,0
1439,45263,45264,2015,3,1,23,1,253,81,72,72,69,-13,24,1016,6,SE,67.95,0,0
1440,45264,45265,2015,3,2,0,1,261,85,83,78,74,-11,40,1015,1,NW,1.79,0,0
1441,45265,45266,2015,3,2,1,1,280,88,86,80,74,-8,58,1015,-1,SE,1.79,0,0
1442,45266,45267,2015,3,2,2,1,291,91,98,78,77,-7,68,1014,-2,cv,0.89,0,0
1443,45267,45268,2015,3,2,3,1,304,94,101,80,82,-9,68,1013,-4,NE,0.89,0,0
1444,45268,45269,2015,3,2,4,1,320,103,107,94,103,-8,73,1013,-4,NE,2.68,0,0
1445,45269,45270,2015,3,2,5,1,319,97,137,120,117,-9,63,1012,-3,cv,0.45,0,0
1446,45270,45271,2015,3,2,6,1,327,105,150,138,134,-8,73,1012,-4,NW,1.79,0,0
1447,45271,45272,2015,3,2,7,1,331,133,159,141,145,-8,79,1012,-5,cv,0.89,0,0
1448,45272,45273,2015,3,2,8,1,327,155,150,145,138,-6,68,1013,-1,NE,1.79,0,0
1449,45273,45274,2015,3,2,9,1,327,161,159,150,131,-9,38,1012,4,cv,0.89,0,0
1450,45274,45275,2015,3,2,10,1,321,152,166,158,130,-9,33,1012,6,NW,1.79,0,0
1451,45275,45276,2015,3,2,11,1,315,107,151,138,100,-10,26,1011,8,NW,3.58,0,0
1452,45276,45277,2015,3,2,12,1,309,74,94,88,55,-11,20,1010,11,SE,3.13,0,0
1453,45277,45278,2015,3,2,13,1,302,42,42,48,30,-16,11,1009,14,NW,8.05,0,0
1454,45278,45279,2015,3,2,14,1,297,31,29,30,18,-17,10,1008,14,NW,16.1,0,0
1456,45280,45281,2015,3,2,16,1,286,27,7,30,26,-14,12,1008,15,NW,33.09,0,0
1457,45281,45282,2015,3,2,17,1,281,26,28,34,18,-15,12,1009,13,NW,41.14,0,0
1458,45282,45283,2015,3,2,18,1,277,22,24,25,14,-15,13,1009,12,NW,48.29,0,0
1459,45283,45284,2015,3,2,19,1,266,20,14,16,16,-13,18,1010,10,NW,57.23,0,0
1460,45284,45285,2015,3,2,20,1,255,11,12,9,11,-13,18,1012,10,NW,64.38,0,0
1461,45285,45286,2015,3,2,21,1,245,6,9,6,9,-14,18,1013,9,NW,72.43,0,0
1462,45286,45287,2015,3,2,22,1,227,8,8,9,6,-13,20,1015,8,NW,79.58,0,0
1463,45287,45288,2015,3,2,23,1,219,10,11,10,4,-14,20,1015,7,NW,85.39,0,0
1464,45288,45289,2015,3,3,0,1,229,7,4,7,6,-17,16,1016,7,NW,91.2,0,0
1465,45289,45290,2015,3,3,1,1,251,5,9,6,7,-18,14,1017,7,NW,99.25,0,0
1466,45290,45291,2015,3,3,2,1,268,5,11,7,5,-19,14,1018,6,NW,107.3,0,0
1467,45291,45292,2015,3,3,3,1,283,9,7,8,4,-21,14,1019,4,NW,117.13,0,0
1468,45292,45293,2015,3,3,4,1,293,8,6,6,3,-24,11,1020,3,NW,128.31,0,0
1469,45293,45294,2015,3,3,5,1,298,3,5,7,4,-26,10,1021,2,NW,139.49,0,0
1470,45294,45295,2015,3,3,6,1,292,7,6,3,6,-25,12,1022,1,NW,152.45,0,0
1471,45295,45296,2015,3,3,7,1,281,11,10,5,7,-24,15,1023,-1,NW,166.31,0,0
1472,45296,45297,2015,3,3,8,1,275,13,8,8,8,-23,16,1025,-1,NW,177.49,0,0
1474,45298,45299,2015,3,3,10,1,284,7,8,5,6,-23,16,1027,-1,NW,198.5,0,0
1475,45299,45300,2015,3,3,11,1,286,8,7,6,6,-25,12,1027,1,NW,207.44,0,0
1477,45301,45302,2015,3,3,13,1,268,9,15,7,8,-25,10,1025,3,NW,226.21,0,0
1478,45302,45303,2015,3,3,14,1,273,9,12,11,7,-25,9,1024,4,NW,234.26,0,0
1479,45303,45304,2015,3,3,15,1,287,12,6,6,6,-26,8,1023,5,NW,245.44,0,0
1480,45304,45305,2015,3,3,16,1,284,8,11,4,7,-26,9,1023,4,NW,256.62,0,0
1481,45305,45306,2015,3,3,17,1,239,10,10,12,12,-26,9,1023,4,NW,265.56,0,0
1482,45306,45307,2015,3,3,18,1,130,15,17,11,13,-25,11,1024,2,NW,274.5,0,0
1483,45307,45308,2015,3,3,19,1,52,17,15,10,12,-26,10,1025,2,NW,283.44,0,0
1484,45308,45309,2015,3,3,20,1,28,15,16,17,14,-26,11,1026,1,NW,291.49,0,0
1486,45310,45311,2015,3,3,22,1,31,12,12,4,8,-27,11,1028,0,NW,305.35,0,0
1487,45311,45312,2015,3,3,23,1,35,12,9,10,8,-26,12,1028,0,NW,310.27,0,0
1488,45312,45313,2015,3,4,0,1,38,18,8,17,8,-24,15,1028,-1,NW,315.19,0,0
1489,45313,45314,2015,3,4,1,1,40,16,10,12,7,-24,14,1028,0,NW,320.11,0,0
1490,45314,45315,2015,3,4,2,1,40,16,12,12,11,-24,15,1028,-1,NW,325.03,0,0
1491,45315,45316,2015,3,4,3,1,69,19,17,16,12,-24,16,1028,-2,NW,329.05,0,0
1492,45316,45317,2015,3,4,4,1,103,21,22,13,13,-23,18,1028,-2,NW,333.07,0,0
1493,45317,45318,2015,3,4,5,1,69,17,17,13,12,-22,21,1028,-3,NW,337.09,0,0
1494,45318,45319,2015,3,4,6,1,62,17,17,18,10,-21,27,1029,-5,NW,340.22,0,0
1495,45319,45320,2015,3,4,7,1,57,25,22,14,18,-22,24,1029,-5,cv,0.89,0,0
1496,45320,45321,2015,3,4,8,1,39,20,23,21,20,-21,21,1030,-2,cv,1.78,0,0
1497,45321,45322,2015,3,4,9,1,36,21,20,16,18,-23,14,1031,1,cv,2.67,0,0
1498,45322,45323,2015,3,4,10,1,36,17,25,13,15,-26,10,1031,2,NW,1.79,0,0
1499,45323,45324,2015,3,4,11,1,37,12,13,3,9,-25,10,1030,3,NW,3.58,0,0
1500,45324,45325,2015,3,4,12,1,36,12,10,11,12,-27,8,1029,4,cv,1.79,0,0
1501,45325,45326,2015,3,4,13,1,35,22,12,10,18,-27,7,1028,5,cv,3.58,0,0
1502,45326,45327,2015,3,4,14,1,35,28,26,21,31,-28,6,1027,6,cv,5.37,0,0
1503,45327,45328,2015,3,4,15,1,35,27,25,21,23,-27,7,1026,6,SE,4.02,0,0
1504,45328,45329,2015,3,4,16,1,35,23,29,26,23,-26,7,1026,6,SE,7.15,0,0
1505,45329,45330,2015,3,4,17,1,36,32,28,31,21,-25,8,1026,6,SE,11.17,0,0
1506,45330,45331,2015,3,4,18,1,36,35,30,25,31,-24,10,1026,4,SE,15.19,0,0
1507,45331,45332,2015,3,4,19,1,37,47,40,37,38,-23,13,1027,2,SE,19.21,0,0
1508,45332,45333,2015,3,4,20,1,38,55,42,43,42,-23,11,1027,4,SE,24.13,0,0
1509,45333,45334,2015,3,4,21,1,39,71,52,48,55,-22,14,1028,2,SE,25.92,0,0
1510,45334,45335,2015,3,4,22,1,40,88,63,55,60,-18,26,1028,-1,SE,27.71,0,0
1511,45335,45336,2015,3,4,23,1,40,93,60,70,75,-16,33,1028,-2,SE,29.5,0,0
1512,45336,45337,2015,3,5,0,1,40,111,80,90,95,-15,39,1028,-3,SE,30.39,0,0
1513,45337,45338,2015,3,5,1,1,39,126,85,104,110,-16,35,1029,-3,cv,0.89,0,0
1514,45338,45339,2015,3,5,2,1,38,142,99,116,123,-15,42,1029,-4,cv,1.78,0,0
1515,45339,45340,2015,3,5,3,1,36,157,117,130,132,-15,42,1028,-4,SE,1.79,0,0
1516,45340,45341,2015,3,5,4,1,35,153,125,128,111,-15,39,1028,-3,SE,2.68,0,0
1517,45341,45342,2015,3,5,5,1,33,119,128,116,118,-14,45,1027,-4,NE,1.79,0,0
1518,45342,45343,2015,3,5,6,1,32,133,135,131,133,-14,57,1028,-7,NE,2.68,0,0
1519,45343,45344,2015,3,5,7,1,30,140,139,129,135,-12,67,1028,-7,NE,4.47,0,0
1520,45344,45345,2015,3,5,8,1,28,148,155,143,134,-11,58,1028,-4,NE,5.36,0,0
1521,45345,45346,2015,3,5,9,1,28,156,187,145,144,-12,39,1029,0,cv,0.89,0,0
1522,45346,45347,2015,3,5,10,1,25,163,194,169,162,-14,31,1029,1,cv,1.78,0,0
1523,45347,45348,2015,3,5,11,1,37,125,116,99,97,-16,21,1028,4,cv,2.67,0,0
1524,45348,45349,2015,3,5,12,1,38,117,91,93,93,-18,14,1027,7,SE,5.81,0,0
1525,45349,45350,2015,3,5,13,1,46,85,74,72,65,-18,14,1025,7,SE,11.62,0,0
1526,45350,45351,2015,3,5,14,1,60,76,69,64,62,-18,13,1024,8,SE,17.43,0,0
1527,45351,45352,2015,3,5,15,1,55,78,73,67,70,-18,13,1023,8,SE,23.24,0,0
1528,45352,45353,2015,3,5,16,1,41,84,76,70,73,-18,13,1023,8,SE,29.05,0,0
1529,45353,45354,2015,3,5,17,1,34,86,81,75,73,-17,15,1022,8,SE,33.97,0,0
1530,45354,45355,2015,3,5,18,1,29,99,77,69,75,-17,18,1022,5,SE,37.1,0,0
1531,45355,45356,2015,3,5,19,1,39,139,89,95,93,-16,20,1022,5,SE,38.89,0,0
1532,45356,45357,2015,3,5,20,1,46,215,135,145,140,-16,23,1023,3,SE,42.02,0,0
1533,45357,45358,2015,3,5,21,1,46,241,165,180,162,-15,25,1023,3,SE,43.81,0,0
1534,45358,45359,2015,3,5,22,1,53,222,163,169,153,-14,31,1023,1,SE,45.6,0,0
1535,45359,45360,2015,3,5,23,1,52,176,137,127,142,-10,50,1023,-1,SE,46.49,0,0
1536,45360,45361,2015,3,6,0,1,64,147,129,116,118,-10,50,1023,-1,SE,48.28,0,0
1537,45361,45362,2015,3,6,1,1,96,155,159,133,144,-10,50,1023,-1,SE,49.17,0,0
1538,45362,45363,2015,3,6,2,1,96,170,206,184,201,-10,50,1022,-1,SE,50.96,0,0
1539,45363,45364,2015,3,6,3,1,105,183,191,190,181,-10,50,1022,-1,SE,52.75,0,0
1540,45364,45365,2015,3,6,4,1,100,216,182,181,178,-10,54,1021,-2,NE,0.89,0,0
1541,45365,45366,2015,3,6,5,1,96,209,182,177,164,-10,62,1021,-4,NE,1.78,0,0
1542,45366,45367,2015,3,6,6,1,89,184,181,174,165,-10,67,1021,-5,cv,0.45,0,0
1543,45367,45368,2015,3,6,7,1,97,171,178,165,155,-10,67,1021,-5,NE,0.89,0,0
1544,45368,45369,2015,3,6,8,1,99,179,188,172,154,-7,73,1021,-3,NE,1.78,0,0
1545,45369,45370,2015,3,6,9,1,88,195,186,177,171,-8,50,1022,1,SE,1.79,0,0
1546,45370,45371,2015,3,6,10,1,76,205,190,176,180,-8,44,1021,3,cv,0.89,0,0
1547,45371,45372,2015,3,6,11,1,65,230,207,193,203,-8,38,1020,5,cv,1.78,0,0
1548,45372,45373,2015,3,6,12,1,52,249,235,221,213,-9,33,1019,6,SE,1.79,0,0
1549,45373,45374,2015,3,6,13,1,32,257,232,218,215,-9,28,1018,8,SE,4.92,0,0
1550,45374,45375,2015,3,6,14,1,26,250,231,210,215,-10,26,1017,8,SE,8.94,0,0
1551,45375,45376,2015,3,6,15,1,23,229,210,196,189,-9,26,1016,9,SE,12.96,0,0
1552,45376,45377,2015,3,6,16,1,23,242,220,202,211,-9,25,1015,10,SE,16.98,0,0
1553,45377,45378,2015,3,6,17,1,25,269,242,235,231,-8,29,1015,9,SE,20.11,0,0
1554,45378,45379,2015,3,6,18,1,27,285,281,238,243,-8,31,1015,8,cv,0.89,0,0
1555,45379,45380,2015,3,6,19,1,31,299,303,254,253,-7,41,1016,5,SE,0.89,0,0
1556,45380,45381,2015,3,6,20,1,35,310,319,275,286,-7,41,1016,5,SE,2.68,0,0
1557,45381,45382,2015,3,6,21,1,37,304,321,291,288,-7,47,1017,3,cv,0.89,0,0
1558,45382,45383,2015,3,6,22,1,38,314,331,301,316,-7,47,1017,3,cv,1.78,0,0
1559,45383,45384,2015,3,6,23,1,54,317,344,322,313,-7,55,1017,1,cv,2.67,0,0
1560,45384,45385,2015,3,7,0,1,58,354,334,307,301,-6,59,1017,1,NE,1.79,0,0
1561,45385,45386,2015,3,7,1,1,63,358,326,307,280,-6,59,1017,1,cv,0.45,0,0
1562,45386,45387,2015,3,7,2,1,111,346,327,294,281,-6,74,1017,-2,NE,0.89,0,0
1563,45387,45388,2015,3,7,3,1,108,330,330,291,276,-5,74,1017,-1,cv,0.89,0,0
1564,45388,45389,2015,3,7,4,1,98,305,315,293,262,-6,74,1017,-2,NW,1.79,0,0
1565,45389,45390,2015,3,7,5,1,85,281,309,287,240,-7,73,1018,-3,NE,0.89,0,0
1566,45390,45391,2015,3,7,6,1,64,269,288,263,244,-6,74,1018,-2,cv,0.89,0,0
1567,45391,45392,2015,3,7,7,1,54,250,275,241,221,-7,79,1019,-4,NE,1.79,0,0
1568,45392,45393,2015,3,7,8,1,55,251,286,243,220,-4,80,1020,-1,cv,0.89,0,0
1569,45393,45394,2015,3,7,9,1,59,247,274,248,222,-4,52,1020,5,cv,1.78,0,0
1570,45394,45395,2015,3,7,10,1,63,251,264,243,234,-4,45,1021,7,cv,2.67,0,0
1572,45396,45397,2015,3,7,12,1,92,238,247,216,211,-3,39,1020,10,SE,4.92,0,0
1573,45397,45398,2015,3,7,13,1,104,253,281,232,197,-4,34,1019,11,SE,8.94,0,0
1574,45398,45399,2015,3,7,14,1,104,213,222,207,176,-3,34,1018,12,SE,12.07,0,0
1575,45399,45400,2015,3,7,15,1,125,212,223,210,190,-3,34,1018,12,SE,15.2,0,0
1576,45400,45401,2015,3,7,16,1,138,226,227,203,194,-2,37,1017,12,SE,19.22,0,0
1577,45401,45402,2015,3,7,17,1,147,226,234,211,200,-3,37,1017,11,SE,23.24,0,0
1578,45402,45403,2015,3,7,18,1,154,232,234,204,201,-2,42,1017,10,SE,26.37,0,0
1579,45403,45404,2015,3,7,19,1,153,248,248,214,214,-2,49,1018,8,SE,28.16,0,0
1580,45404,45405,2015,3,7,20,1,148,264,258,232,226,-2,56,1019,6,SE,29.95,0,0
1581,45405,45406,2015,3,7,21,1,147,273,275,241,231,-1,56,1019,7,SE,31.74,0,0
1582,45406,45407,2015,3,7,22,1,146,269,249,235,220,-1,65,1020,5,cv,0.89,0,0
1583,45407,45408,2015,3,7,23,1,142,255,237,233,213,-1,65,1020,5,SE,1.79,0,0
1584,45408,45409,2015,3,8,0,1,141,243,227,206,201,-2,64,1019,4,SE,3.58,0,0
1585,45409,45410,2015,3,8,1,1,143,232,230,216,217,-1,74,1019,3,cv,0.89,0,0
1586,45410,45411,2015,3,8,2,1,93,247,243,232,228,-3,64,1019,3,cv,1.78,0,0
1587,45411,45412,2015,3,8,3,1,39,255,243,227,217,-2,86,1018,0,NE,0.89,0,0
1588,45412,45413,2015,3,8,4,1,30,258,233,223,223,-4,86,1018,-2,NW,1.79,0,0
1589,45413,45414,2015,3,8,5,1,33,245,234,218,203,-3,86,1018,-1,SE,1.79,0,0
1590,45414,45415,2015,3,8,6,1,30,226,230,203,214,-3,80,1019,0,NW,1.79,0,0
1591,45415,45416,2015,3,8,7,1,29,251,234,212,238,-4,74,1019,0,cv,0.89,0,0
1592,45416,45417,2015,3,8,8,1,34,268,289,245,256,-2,74,1020,2,NW,0.89,0,0
1593,45417,45418,2015,3,8,9,1,39,281,307,301,245,-1,69,1021,4,cv,0.89,0,0
1594,45418,45419,2015,3,8,10,1,41,261,273,244,237,-2,52,1022,7,NE,4.02,0,0
1595,45419,45420,2015,3,8,11,1,48,160,191,179,125,-3,42,1022,9,NW,4.02,0,0
1596,45420,45421,2015,3,8,12,1,56,30,81,36,12,-6,29,1022,11,NW,8.04,0,0
1597,45421,45422,2015,3,8,13,1,58,12,14,9,12,-9,22,1022,12,SE,1.79,0,0
1598,45422,45423,2015,3,8,14,1,66,13,17,11,11,-12,16,1022,13,cv,1.79,0,0
1599,45423,45424,2015,3,8,15,1,83,15,19,9,12,-17,10,1022,13,NW,8.05,0,0
1600,45424,45425,2015,3,8,16,1,111,12,16,12,9,-18,9,1022,13,NW,16.1,0,0
1601,45425,45426,2015,3,8,17,1,108,6,12,9,10,-18,10,1023,12,NW,24.15,0,0
1602,45426,45427,2015,3,8,18,1,100,12,10,7,7,-20,10,1024,10,NW,31.3,0,0
1603,45427,45428,2015,3,8,19,1,93,18,16,15,8,-21,10,1025,8,NW,38.45,0,0
1604,45428,45429,2015,3,8,20,1,85,13,11,8,14,-20,12,1026,7,NW,45.6,0,0
1605,45429,45430,2015,3,8,21,1,80,10,10,14,9,-20,13,1028,6,NW,52.75,0,0
1606,45430,45431,2015,3,8,22,1,80,19,23,17,17,-21,13,1029,5,NW,60.8,0,0
1607,45431,45432,2015,3,8,23,1,81,15,21,15,10,-25,9,1031,4,NW,70.63,0,0
1608,45432,45433,2015,3,9,0,1,85,11,20,14,7,-25,11,1031,2,NW,78.68,0,0
1609,45433,45434,2015,3,9,1,1,93,11,13,14,10,-24,13,1032,1,NW,88.51,0,0
1610,45434,45435,2015,3,9,2,1,99,10,7,12,5,-25,13,1033,0,NW,98.34,0,0
1611,45435,45436,2015,3,9,3,1,113,5,7,11,5,-23,16,1034,-1,NW,108.17,0,0
1612,45436,45437,2015,3,9,4,1,124,11,9,5,4,-23,18,1034,-2,NW,115.32,0,0
1613,45437,45438,2015,3,9,5,1,139,4,3,3,4,-24,18,1035,-3,NW,121.13,0,0
1614,45438,45439,2015,3,9,6,1,157,4,6,7,3,-22,21,1036,-3,NE,4.02,0,0
1615,45439,45440,2015,3,9,7,1,157,3,6,9,2,-22,23,1036,-4,NE,8.04,0,0
1616,45440,45441,2015,3,9,8,1,148,3,4,6,6,-22,21,1037,-3,NE,13.85,0,0
1617,45441,45442,2015,3,9,9,1,153,3,5,5,15,-23,18,1038,-2,NE,19.66,0,0
1618,45442,45443,2015,3,9,10,1,163,3,9,4,8,-23,18,1038,-2,NE,24.58,0,0
1619,45443,45444,2015,3,9,11,1,175,8,6,6,10,-24,15,1038,-1,NE,30.39,0,0
1620,45444,45445,2015,3,9,12,1,182,12,11,7,9,-27,11,1038,0,NE,35.31,0,0
1621,45445,45446,2015,3,9,13,1,185,12,13,5,8,-28,9,1037,1,NE,39.33,0,0
1622,45446,45447,2015,3,9,14,1,186,12,12,15,10,-29,6,1036,5,NW,7.15,0,0
1623,45447,45448,2015,3,9,15,1,200,9,23,9,11,-30,5,1035,5,NW,16.09,0,0
1624,45448,45449,2015,3,9,16,1,206,8,12,9,8,-28,8,1035,3,NE,4.92,0,0
1625,45449,45450,2015,3,9,17,1,199,7,13,6,5,-28,7,1034,4,NE,8.05,0,0
1626,45450,45451,2015,3,9,18,1,189,10,13,6,8,-27,10,1035,1,NW,3.13,0,0
1627,45451,45452,2015,3,9,19,1,186,8,10,3,8,-29,7,1036,2,NW,8.94,0,0
1628,45452,45453,2015,3,9,20,1,178,13,13,9,9,-30,7,1036,1,NW,13.86,0,0
1629,45453,45454,2015,3,9,21,1,143,15,6,3,8,-29,8,1037,1,NW,18.78,0,0
1630,45454,45455,2015,3,9,22,1,131,16,10,7,10,-26,13,1037,-2,NW,21.91,0,0
1631,45455,45456,2015,3,9,23,1,136,10,8,13,8,-26,12,1037,-1,NW,25.93,0,0
1632,45456,45457,2015,3,10,0,1,138,10,13,8,9,-25,17,1037,-4,NW,29.06,0,0
1633,45457,45458,2015,3,10,1,1,149,8,12,10,7,-24,18,1037,-3,NW,33.08,0,0
1634,45458,45459,2015,3,10,2,1,135,7,8,8,4,-26,13,1037,-2,NW,37.1,0,0
1635,45459,45460,2015,3,10,3,1,116,12,10,8,2,-23,19,1036,-3,cv,0.89,0,0
1636,45460,45461,2015,3,10,4,1,114,13,12,10,7,-23,24,1036,-6,NW,0.89,0,0
1637,45461,45462,2015,3,10,5,1,105,15,18,10,8,-18,41,1035,-7,cv,0.89,0,0
1638,45462,45463,2015,3,10,6,1,100,15,25,3,22,-18,41,1035,-7,SE,0.89,0,0
1639,45463,45464,2015,3,10,7,1,112,39,53,25,33,-17,44,1035,-7,cv,0.89,0,0
1640,45464,45465,2015,3,10,8,1,129,58,49,32,38,-20,22,1035,-1,cv,2.68,0,0
1641,45465,45466,2015,3,10,9,1,125,45,41,37,25,-24,13,1034,1,NW,3.13,0,0
1642,45466,45467,2015,3,10,10,1,143,23,18,17,8,-23,12,1033,3,cv,0.89,0,0
1645,45469,45470,2015,3,10,13,1,161,31,7,10,26,-22,9,1028,8,NW,3.13,0,0
1646,45470,45471,2015,3,10,14,1,181,52,35,38,37,-22,9,1027,8,cv,3.13,0,0
1647,45471,45472,2015,3,10,15,1,185,46,42,43,39,-21,10,1025,9,SE,5.81,0,0
1648,45472,45473,2015,3,10,16,1,191,41,36,35,35,-21,10,1025,8,SE,11.62,0,0
1649,45473,45474,2015,3,10,17,1,193,37,37,38,30,-21,10,1024,8,SE,17.43,0,0
1650,45474,45475,2015,3,10,18,1,198,44,36,37,36,-21,11,1024,7,SE,22.35,0,0
1651,45475,45476,2015,3,10,19,1,186,74,62,61,66,-20,13,1024,6,SE,25.48,0,0
1652,45476,45477,2015,3,10,20,1,170,86,79,76,71,-18,15,1024,6,SE,28.61,0,0
1653,45477,45478,2015,3,10,21,1,165,87,75,69,72,-17,17,1024,6,cv,0.89,0,0
1654,45478,45479,2015,3,10,22,1,167,91,81,75,72,-14,33,1025,0,cv,1.78,0,0
1655,45479,45480,2015,3,10,23,1,163,94,80,78,78,-12,42,1024,-1,NE,0.89,0,0
1656,45480,45481,2015,3,11,0,1,178,87,81,71,75,-14,36,1024,-1,cv,0.45,0,0
1658,45482,45483,2015,3,11,2,1,216,109,152,112,104,-14,39,1024,-2,cv,1.79,0,0
1659,45483,45484,2015,3,11,3,1,239,120,148,129,98,-15,36,1024,-2,cv,2.68,0,0
1660,45484,45485,2015,3,11,4,1,294,110,140,118,101,-14,45,1024,-4,NW,3.13,0,0
1661,45485,45486,2015,3,11,5,1,312,79,142,109,93,-15,36,1024,-2,cv,0.89,0,0
1662,45486,45487,2015,3,11,6,1,329,66,137,113,85,-14,45,1025,-4,NW,0.89,0,0
1663,45487,45488,2015,3,11,7,1,343,68,60,52,31,-15,39,1026,-3,NW,2.68,0,0
1664,45488,45489,2015,3,11,8,1,360,26,49,34,31,-19,19,1026,2,NE,4.02,0,0
1665,45489,45490,2015,3,11,9,1,366,22,27,25,17,-20,15,1027,4,NE,9.83,0,0
1668,45492,45493,2015,3,11,12,1,355,11,19,9,11,-20,12,1025,7,SE,3.13,0,0
1669,45493,45494,2015,3,11,13,1,356,10,15,18,14,-22,9,1024,8,SE,6.26,0,0
1670,45494,45495,2015,3,11,14,1,359,14,16,22,15,-21,10,1022,9,cv,1.79,0,0
1671,45495,45496,2015,3,11,15,1,363,14,21,26,18,-21,9,1021,10,cv,3.58,0,0
1672,45496,45497,2015,3,11,16,1,361,16,21,19,15,-21,8,1020,12,cv,4.47,0,0
1673,45497,45498,2015,3,11,17,1,346,22,25,20,18,-21,9,1020,10,SE,4.92,0,0
1674,45498,45499,2015,3,11,18,1,328,23,30,29,23,-21,10,1020,8,SE,8.05,0,0
1675,45499,45500,2015,3,11,19,1,314,32,34,32,33,-20,12,1020,7,SE,11.18,0,0
1676,45500,45501,2015,3,11,20,1,296,47,48,44,39,-19,14,1020,6,SE,14.31,0,0
1677,45501,45502,2015,3,11,21,1,284,51,63,57,44,-19,14,1020,6,SE,17.44,0,0
1678,45502,45503,2015,3,11,22,1,253,65,91,60,55,-17,18,1020,5,SE,20.57,0,0
1679,45503,45504,2015,3,11,23,1,233,82,85,79,76,-16,21,1020,4,SE,23.7,0,0
1680,45504,45505,2015,3,12,0,1,217,89,82,82,77,-14,25,1020,4,SE,27.72,0,0
1681,45505,45506,2015,3,12,1,1,147,75,81,74,73,-13,29,1019,3,SE,30.85,0,0
1682,45506,45507,2015,3,12,2,1,141,81,89,77,74,-13,31,1019,2,SE,32.64,0,0
1683,45507,45508,2015,3,12,3,1,139,90,94,82,81,-12,39,1018,0,NE,1.79,0,0
1684,45508,45509,2015,3,12,4,1,125,90,94,79,83,-10,50,1018,-1,NE,3.58,0,0
1685,45509,45510,2015,3,12,5,1,154,84,100,86,93,-11,50,1018,-2,cv,0.89,0,0
1686,45510,45511,2015,3,12,6,1,175,88,110,96,94,-10,62,1018,-4,NW,0.89,0,0
1687,45511,45512,2015,3,12,7,1,182,89,114,104,88,-10,62,1018,-4,NE,0.89,0,0
1688,45512,45513,2015,3,12,8,1,178,86,136,98,85,-12,32,1018,3,NW,3.13,0,0
1689,45513,45514,2015,3,12,9,1,175,90,106,96,89,-13,27,1018,4,cv,0.89,0,0
1690,45514,45515,2015,3,12,10,1,137,85,116,98,78,-12,26,1018,6,cv,1.78,0,0
